what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.8",1461575656398
java.vm.vendor,sysinfo,,,"Oracle Corporation",1461575656398
java.vm.version,sysinfo,,,"25.91-b14",1461575656398
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1461575656430
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1461575656445
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1461575656532
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1461575656545
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1461575658324
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1461575658355
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1461575658668
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1461575658946
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461575664620
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461575667708
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461575735097
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461575758194
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461575791362
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1461575803303
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1461575826964
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461575833303
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461577460838
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1461577464109
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1461577468172
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1461577471498
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1461577479551
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1461577479582
